Rk,Player,Age,Team,Pos,G,GS,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
90,Jalen Green,22,HOU,SG,82,82,2697,15.1,.544,.460,.234,1.7,13.4,7.4,16.0,1.3,0.9,11.4,27.3,1.9,3.2,5.1,.092,1.1,-0.5,0.5,1.7,,greenja05
91,Malik Monk,26,SAC,SG,65,45,2054,15.0,.549,.456,.190,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,1.3,1.4,2.8,.065,0.3,-1.1,-0.8,0.6,,monkma01
92,Kyle Filipowski,21,UTA,C,72,27,1522,14.9,.594,.425,.276,8.0,23.1,15.6,13.9,1.5,1.4,14.9,18.7,1.5,1.0,2.5,.078,-0.6,-0.3,-1.0,0.4,,filipky01
93,Harrison Barnes,32,SAS,PF,82,82,2230,14.9,.656,.527,.291,4.7,10.3,7.4,8.6,0.8,0.6,6.1,15.7,5.0,0.5,5.6,.120,1.7,-1.7,0.0,1.2,,barneha02
94,Anfernee Simons,25,POR,SG,70,70,2292,14.9,.557,.527,.172,1.2,8.0,4.5,23.3,1.3,0.2,10.6,24.6,2.9,1.2,4.2,.087,1.5,-1.5,-0.1,1.1,,simonan01
95,Brook Lopez,36,MIL,C,80,80,2546,14.8,.624,.482,.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,.124,0.4,0.4,0.8,1.8,,lopezbr01
96,Chris Paul,39,SAS,PG,82,82,2292,14.7,.580,.636,.158,1.5,12.3,6.9,34.8,2.2,0.9,17.1,14.0,4.2,1.6,5.7,.120,0.3,0.5,0.8,1.6,,paulch01
97,Guerschon Yabusele,29,PHI,C,70,43,1895,14.7,.616,.487,.245,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,2.9,1.0,3.9,.099,0.1,-1.1,-1.0,0.5,,yabusgu01
98,Shaedon Sharpe,21,POR,SG,72,52,2252,14.5,.551,.428,.219,3.2,12.7,7.8,14.2,1.3,0.6,11.0,25.1,1.3,1.7,3.0,.064,0.0,-1.3,-1.3,0.4,,sharpsh01
99,Tyus Jones,28,PHO,PG,81,58,2174,14.5,.585,.587,.083,2.1,7.8,5.0,27.7,1.6,0.3,11.4,16.2,4.0,0.3,4.4,.096,1.4,-1.3,0.1,1.1,,jonesty01
100,Brandin Podziemski,21,GSW,SG,64,33,1716,14.4,.557,.491,.151,4.0,16.8,10.2,18.7,2.0,0.7,10.1,18.3,1.9,2.3,4.2,.117,-0.1,0.8,0.7,1.2,,podzibr01
101,Malik Beasley,28,DET,SG,82,18,2283,14.4,.590,.715,.131,2.3,8.0,5.2,8.9,1.5,0.2,6.8,22.5,2.9,1.8,4.7,.100,2.0,-1.2,0.8,1.6,6MOY-2,beaslma01
102,Russell Westbrook,36,DEN,PG,75,36,2092,14.3,.532,.350,.280,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,.045,-0.9,-0.2,-1.1,0.5,6MOY-7,westbru01
103,Devin Vassell,24,SAS,SG,64,53,1983,14.2,.553,.483,.135,1.8,12.0,6.9,13.8,2.0,1.5,8.5,22.1,0.9,1.3,2.2,.054,-0.3,-0.8,-1.1,0.4,,vassede01
104,Donte DiVincenzo,28,MIN,SG,62,10,1606,14.1,.582,.739,.106,2.2,13.3,7.9,20.2,2.2,1.0,13.8,19.4,1.6,2.2,3.9,.115,0.8,1.1,1.9,1.6,,divindo01
105,Mikal Bridges,28,NYK,SF,82,82,3036,14.0,.585,.391,.100,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,.090,0.4,-0.9,-0.5,1.2,,bridgmi01
106,P.J. Washington,26,DAL,PF,57,56,1835,14.0,.556,.359,.298,5.0,20.9,13.1,10.1,1.7,2.8,13.6,20.4,0.3,2.1,2.4,.062,-1.1,0.2,-0.9,0.5,,washipj01
107,Isaiah Joe,25,OKC,SG,74,16,1604,14.0,.617,.793,.095,2.8,10.1,6.6,9.7,1.4,0.6,5.8,17.2,2.9,2.2,5.1,.153,1.4,-0.1,1.3,1.4,,joeis01
108,Tobias Harris,32,DET,PF,73,73,2305,13.9,.571,.328,.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,2.3,2.9,5.2,.108,-0.5,0.6,0.1,1.2,,harrito02
109,Stephon Castle,20,SAS,PG,81,47,2162,13.7,.522,.337,.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,.025,-1.5,-1.7,-3.2,-0.6,ROY-1,castlst01
110,Wendell Carter Jr.,25,ORL,C,68,51,1758,13.7,.544,.322,.356,9.4,23.4,16.0,11.5,1.5,2.2,11.9,16.0,1.6,3.0,4.6,.125,-2.2,0.9,-1.2,0.3,,cartewe01
111,Grayson Allen,29,PHO,SG,64,7,1544,13.7,.631,.716,.233,2.5,11.3,7.0,12.5,1.7,1.2,12.2,17.6,2.0,0.6,2.5,.079,0.7,-1.0,-0.3,0.7,,allengr01
112,Bennedict Mathurin,22,IND,SF,72,49,2149,13.6,.579,.338,.389,4.6,15.2,9.9,8.8,1.1,1.0,11.9,22.8,1.3,1.8,3.0,.068,-1.3,-1.5,-2.9,-0.5,,mathube01
113,Rui Hachimura,26,LAL,PF,59,57,1869,13.6,.619,.429,.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,.110,-0.1,-0.6,-0.7,0.6,,hachiru01
114,Derrick Jones Jr.,27,LAC,SF,77,55,1873,13.5,.609,.372,.200,5.7,10.1,8.0,4.6,2.1,1.7,9.3,16.5,2.1,2.6,4.7,.120,-1.0,0.7,-0.3,0.8,,jonesde02
115,Jrue Holiday,34,BOS,PG,62,62,1896,13.5,.565,.534,.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,2.8,2.4,5.1,.130,-0.3,1.0,0.7,1.3,,holidjr01
116,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,13.5,.551,.327,.250,5.1,15.4,10.0,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.6,.061,-1.7,-0.6,-2.3,-0.1,,oubreke01
117,Keon Ellis,25,SAC,SG,80,28,1948,13.5,.664,.692,.185,3.4,8.8,6.1,8.0,3.0,3.2,12.4,12.7,2.7,2.2,5.0,.122,-0.1,2.0,1.9,1.9,,elliske01
118,Mike Conley,37,MIN,PG,71,64,1756,13.3,.573,.662,.192,2.1,9.3,5.7,24.5,2.2,0.7,12.9,14.4,3.0,2.2,5.2,.142,-0.1,1.3,1.2,1.4,,conlemi01
119,Jaden McDaniels,24,MIN,PF,82,82,2614,13.3,.562,.363,.153,5.6,14.2,10.0,9.0,2.1,2.6,9.6,16.3,2.3,3.9,6.3,.115,-1.4,1.4,0.0,1.4,,mcdanja02
120,Spencer Dinwiddie,31,DAL,PG,79,30,2136,13.0,.553,.478,.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,.082,-0.9,-0.7,-1.6,0.2,,dinwisp01
121,Alex Sarr,19,WAS,C,67,67,1814,12.9,.482,.412,.199,7.1,17.9,12.5,13.9,1.2,5.0,11.2,23.5,-1.6,1.3,-0.3,-0.007,-2.2,-1.0,-3.3,-0.6,ROY-4,sarral01
122,Al Horford,38,BOS,C,60,42,1659,12.9,.563,.681,.082,5.2,18.9,12.1,10.4,1.1,2.8,8.8,13.8,2.0,2.4,4.4,.129,0.1,1.1,1.2,1.3,,horfoal01
123,Klay Thompson,34,DAL,SF,72,72,1965,12.9,.552,.631,.084,2.5,11.0,6.8,10.7,1.2,1.3,8.8,21.8,0.7,1.1,1.8,.045,0.7,-1.6,-1.0,0.5,,thompkl01
124,Keyonte George,21,UTA,PG,67,35,2109,12.9,.539,.552,.310,1.3,11.5,6.5,26.9,1.0,0.4,14.9,24.3,0.9,0.1,1.1,.024,-0.2,-2.5,-2.7,-0.3,,georgke01
125,Sam Hauser,27,BOS,PF,71,19,1541,12.8,.632,.842,.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,2.6,1.8,4.4,.136,0.9,-0.1,0.8,1.1,,hausesa01
126,Fred VanVleet,30,HOU,PG,60,60,2111,12.8,.515,.607,.181,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,2.4,2.8,5.2,.119,-0.4,1.3,0.9,1.5,,vanvlfr01
127,Dalton Knecht,23,LAL,SF,78,16,1494,12.7,.594,.610,.151,2.9,13.1,8.1,6.5,0.8,0.5,5.9,18.5,1.7,1.0,2.7,.086,-0.1,-1.7,-1.8,0.1,,knechda01
128,Dennis Schröder,31,3TM,PG,75,49,2105,12.7,.531,.449,.261,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,1.5,1.7,3.2,.073,-1.3,-0.9,-2.2,-0.1,,schrode01
129,Royce O'Neale,31,PHO,SF,75,22,1837,12.6,.585,.774,.046,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,1.6,1.2,2.8,.073,0.2,-0.1,0.1,1.0,,onealro01
130,Jabari Smith Jr.,21,HOU,PF,57,39,1716,12.6,.562,.489,.223,6.4,18.6,12.4,4.7,0.7,2.1,8.9,16.4,1.9,2.2,4.2,.117,-0.8,0.1,-0.7,0.6,,smithja05
131,Miles McBride,24,NYK,PG,64,10,1593,12.6,.531,.570,.117,3.4,8.1,5.8,15.6,2.1,1.0,6.7,16.8,1.8,1.4,3.2,.098,-0.4,0.4,0.0,0.8,,mcbrimi01
132,Toumani Camara,24,POR,PF,78,78,2548,12.5,.572,.503,.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,2.5,2.6,5.2,.097,-0.9,0.8,-0.1,1.2,DPOY-9DEF2,camarto01
133,Scoot Henderson,20,POR,PG,66,10,1759,12.5,.540,.434,.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,0.4,1.4,1.8,.049,-1.4,-0.8,-2.2,-0.1,,hendesc01
134,Matas Buzelis,20,CHI,SF,80,31,1511,12.5,.571,.479,.195,3.9,15.2,9.6,7.2,0.9,4.3,10.9,18.7,0.5,1.4,1.9,.060,-2.0,-0.5,-2.5,-0.2,ROY-7,buzelma01
135,Draymond Green,34,GSW,PF,68,66,1983,12.4,.534,.483,.289,3.9,19.0,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,.088,-2.3,2.8,0.5,1.3,DPOY-3DEF1,greendr01
136,Moses Moody,22,GSW,SG,74,34,1649,12.4,.578,.593,.234,3.3,9.2,6.2,8.3,1.7,1.8,7.9,17.4,1.7,1.8,3.5,.102,-0.9,0.0,-0.9,0.5,,moodymo01
137,Cason Wallace,21,OKC,SG,68,43,1876,12.3,.562,.425,.076,4.1,8.8,6.5,11.5,3.1,1.9,10.5,12.8,1.8,3.4,5.2,.133,-1.5,2.6,1.0,1.5,,wallaca01
138,Buddy Hield,32,GSW,SG,82,22,1863,12.3,.560,.698,.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,0.6,2.2,2.8,.073,-0.7,-0.3,-1.0,0.5,,hieldbu01
139,Zaccharie Risacher,19,ATL,SF,75,73,1843,12.2,.558,.442,.191,5.0,11.1,8.0,7.1,1.3,1.8,9.8,20.9,0.6,1.1,1.8,.046,-1.7,-1.8,-3.5,-0.7,ROY-2,risacza01
140,Julian Champagnie,23,SAS,SF,82,29,1932,12.2,.577,.722,.141,3.7,13.9,8.8,7.9,1.5,1.6,9.5,17.2,1.3,1.2,2.5,.062,-0.3,-0.9,-1.3,0.4,,champju02
141,Keegan Murray,24,SAC,PF,76,76,2610,12.0,.553,.548,.088,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15.0,2.4,2.1,4.4,.082,-0.8,-0.8,-1.6,0.2,,murrake02
142,Ochai Agbaji,24,TOR,SG,64,45,1739,12.0,.601,.474,.090,3.7,11.4,7.5,7.9,1.6,1.6,8.9,14.6,1.6,1.5,3.1,.087,-0.9,0.2,-0.7,0.5,,agbajoc01
143,Ziaire Williams,23,BRK,SF,63,45,1541,11.9,.550,.581,.237,4.3,17.5,10.6,8.5,2.0,1.8,10.5,18.2,0.5,1.6,2.1,.065,-2.2,-0.1,-2.3,-0.1,,willizi02
144,Duncan Robinson,30,MIA,SF,74,37,1785,11.8,.595,.729,.080,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,.071,-0.7,-1.1,-1.7,0.1,,robindu01
145,Gary Trent Jr.,26,MIL,SG,74,9,1893,11.7,.591,.659,.140,1.2,8.2,4.8,6.4,1.8,0.2,5.7,17.1,1.6,1.7,3.3,.084,-1.2,-0.4,-1.6,0.2,,trentga02
146,Andrew Nembhard,25,IND,SG,65,65,1881,11.7,.545,.325,.252,2.0,10.7,6.4,22.5,2.0,0.5,15.8,16.3,1.1,1.7,2.8,.071,-2.6,0.3,-2.3,-0.1,,nembhan01
147,Anthony Black,21,ORL,PG,78,10,1887,11.6,.521,.315,.318,3.0,11.4,7.0,19.4,2.3,2.4,16.4,19.6,-0.6,3.0,2.4,.061,-3.1,1.2,-1.9,0.0,,blackan01
148,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,11.6,.579,.601,.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,.099,-0.8,0.4,-0.4,0.8,6MOY-6,alexani01
149,Peyton Watson,22,DEN,SF,68,18,1656,11.4,.564,.318,.320,3.3,11.8,7.7,7.0,1.4,5.0,10.3,13.9,1.0,1.5,2.5,.073,-2.1,0.3,-1.8,0.1,,watsope01
150,Kris Dunn,30,LAC,PG,74,58,1783,11.3,.531,.513,.050,3.4,12.4,8.0,15.6,3.5,1.5,14.2,12.7,0.8,3.2,4.0,.108,-2.8,3.4,0.6,1.2,,dunnkr01
151,Luguentz Dort,25,OKC,SF,71,71,2073,11.3,.586,.696,.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,2.4,3.2,5.6,.129,-0.6,0.8,0.2,1.2,DPOY-4DEF1,dortlu01
152,Kevin Huerter,26,2TM,SG,69,31,1679,11.3,.544,.647,.081,2.0,11.3,6.7,12.6,1.9,1.3,9.7,17.5,0.6,1.3,1.9,.054,-1.8,-0.2,-2.0,0.0,,huertke01
153,Amir Coffey,27,LAC,SG,72,13,1748,11.2,.614,.484,.253,2.1,8.2,5.2,6.1,1.1,0.4,7.4,15.3,2.4,1.7,4.0,.111,-1.5,-0.2,-1.7,0.1,,coffeam01
154,Georges Niang,31,2TM,PF,79,3,1697,11.2,.607,.660,.094,3.1,14.3,8.7,8.8,0.8,0.8,11.3,17.9,1.5,1.4,2.9,.081,-1.1,-1.2,-2.3,-0.1,,niangge01
155,Corey Kispert,25,WAS,SF,61,0,1602,11.0,.584,.584,.156,2.3,9.5,5.9,9.7,0.8,0.8,9.6,17.5,1.0,0.1,1.1,.032,-1.4,-2.2,-3.7,-0.7,,kispeco01
156,Dillon Brooks,29,HOU,SF,75,75,2388,11.0,.555,.524,.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,.103,-1.4,0.0,-1.4,0.4,,brookdi01
157,Jerami Grant,30,POR,PF,47,47,1524,10.9,.523,.516,.289,1.8,10.0,5.8,9.5,1.3,2.7,9.1,19.4,0.6,1.2,1.8,.057,-1.4,-0.3,-1.6,0.1,,grantje01
158,Gradey Dick,21,TOR,SG,54,54,1587,10.9,.543,.504,.240,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21.0,0.2,1.2,1.4,.042,-1.9,-1.3,-3.2,-0.5,,dickgr01
159,Bilal Coulibaly,20,WAS,SF,59,59,1948,10.8,.515,.359,.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-0.6,0.9,0.3,.008,-3.0,-0.7,-3.7,-0.8,,coulibi01
160,Kyle Kuzma,29,2TM,PF,65,62,1936,10.6,.514,.369,.238,3.0,17.1,10.2,12.1,0.9,0.9,13.5,24.0,-2.3,1.3,-0.9,-0.024,-2.9,-2.0,-4.9,-1.4,,kuzmaky01
161,Terry Rozier,30,MIA,PG,64,23,1658,10.5,.497,.485,.170,3.0,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-0.5,1.5,1.0,.029,-2.6,-1.0,-3.7,-0.7,,roziete01
162,Jaylen Wells,21,MEM,SG,79,74,2043,10.5,.560,.580,.200,4.6,9.3,6.9,8.4,1.0,0.4,8.6,15.9,2.1,1.4,3.5,.083,-1.2,-1.0,-2.2,-0.1,ROY-3,wellsja01
163,Keon Johnson,22,BRK,SG,79,56,1925,10.4,.499,.515,.178,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-1.3,1.9,0.5,.014,-3.1,-0.1,-3.3,-0.6,,johnske07
164,Max Christie,21,2TM,SG,78,36,2127,10.4,.570,.532,.258,2.0,11.2,6.7,9.2,1.5,1.3,11.8,15.2,1.1,1.6,2.7,.060,-2.1,-0.5,-2.5,-0.3,,chrisma02
165,Davion Mitchell,26,2TM,PG,74,37,2027,10.2,.573,.443,.176,1.9,7.1,4.5,24.2,1.7,0.8,20.0,13.6,1.3,1.6,3.0,.070,-2.8,0.2,-2.6,-0.3,,mitchda01
166,Dorian Finney-Smith,31,2TM,PF,63,40,1818,10.1,.604,.722,.103,5.0,10.4,7.7,6.9,1.6,1.2,11.0,12.3,1.5,1.4,2.9,.078,-1.1,0.1,-1.0,0.5,,finnedo01
167,Haywood Highsmith,28,MIA,SF,74,42,1818,9.9,.583,.596,.110,4.4,10.8,7.7,8.4,1.9,2.0,11.6,11.3,1.3,2.1,3.3,.088,-2.7,0.9,-1.9,0.1,,highsha01
168,Tristan Da Silva,23,ORL,SF,74,38,1629,9.9,.522,.495,.130,4.9,12.7,8.6,10.3,1.0,1.1,9.9,15.2,0.5,1.9,2.5,.073,-2.3,-0.3,-2.6,-0.3,,dasiltr01
169,Kentavious Caldwell-Pope,31,ORL,SG,77,77,2279,9.9,.574,.607,.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,.096,-3.0,1.6,-1.4,0.3,,caldwke01
170,Tim Hardaway Jr.,32,DET,SG,77,77,2153,9.8,.567,.672,.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,.077,-1.1,-0.9,-2.1,0.0,,hardati02
171,Taurean Prince,30,MIL,SF,80,73,2166,9.8,.613,.652,.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,.077,-2.0,0.3,-1.7,0.1,,princta02
172,Isaiah Collier,20,UTA,PG,71,46,1839,9.7,.494,.305,.277,1.9,11.8,6.9,34.3,1.7,0.8,25.0,18.9,-1.3,0.5,-0.8,-0.021,-3.8,-1.5,-5.3,-1.6,,colliis01
173,Jalen Wilson,24,BRK,PF,79,22,2031,9.5,.541,.584,.266,4.0,11.4,7.5,10.8,1.0,0.2,10.2,16.6,0.9,1.0,1.9,.046,-2.6,-1.3,-3.9,-1.0,,wilsoja03
174,A.J. Green,25,MIL,SG,73,7,1659,9.2,.621,.856,.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,.082,-1.7,-0.4,-2.2,-0.1,,greenaj01
175,Bub Carrington,19,WAS,PG,82,57,2458,9.0,.514,.544,.114,1.4,13.1,7.2,21.2,1.0,0.8,15.2,15.8,-0.4,0.6,0.2,.005,-3.3,-1.3,-4.6,-1.6,,carrica01
176,Patrick Williams,23,CHI,PF,63,36,1576,9.0,.512,.527,.161,2.9,12.7,7.9,10.3,1.4,1.8,13.5,16.9,-0.9,1.3,0.4,.012,-3.0,-0.7,-3.7,-0.7,,willipa01
177,Kyshawn George,21,WAS,SG,68,38,1802,8.8,.503,.648,.170,2.8,13.7,8.2,13.3,1.8,2.5,14.2,15.9,-0.9,1.1,0.1,.003,-3.8,-0.3,-4.1,-0.9,,georgky01
178,Josh Green,24,CHO,SG,68,67,1887,7.8,.559,.589,.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,0.4,1.0,1.5,.037,-4.5,0.2,-4.3,-1.1,,greenjo02
179,Gabe Vincent,28,LAL,PG,72,11,1527,7.4,.536,.736,.050,1.5,5.2,3.4,8.7,1.6,0.8,8.7,13.5,0.3,1.0,1.3,.039,-3.8,-0.1,-4.0,-0.8,,vincega01
,League Average,,,,,,,,.576,.421,.243,5.0,15.0,10.0,16.2,1.7,1.9,12.0,19.9,,,,,,,,,,-9999